"h2","var.z","p0","t","nbar","nvar","nn"
0.25,0.2,0.75,37,12228.2656641604,38140498.1453256,399
0.25,0.2,0.75,38,12853.6090225564,35513745.9673556,399
0.25,0.2,0.75,39,13425.9323308271,32406586.9727963,399
0.25,0.2,0.75,40,13964.4661654135,29494645.8474704,399
0.25,0.2,0.75,41,14457.2030075188,26519192.2325537,399
0.25,0.2,0.75,42,14894.4962406015,23422616.7682019,399
0.25,0.2,0.75,43,15297.5488721805,20424105.3638115,399
0.25,0.2,0.75,44,15716.4486215539,17582180.8258712,399
0.25,0.2,0.75,45,16108.6992481203,15150305.0148487,399
0.25,0.2,0.75,46,16454.7117794486,12722894.7986297,399
0.25,0.2,0.75,47,16777.1854636591,10659402.372552,399
0.25,0.2,0.75,48,17057.5939849624,8870306.11614463,399
0.25,0.2,0.75,49,17295.9022556391,7453573.52559791,399
0.25,0.2,0.75,50,17554.0751879699,6269749.25061397,399
0.25,0.2,0.75,51,17744.4711779449,5272948.7322074,399
0.25,0.2,0.75,52,17939.4912280702,4490237.15004849,399
0.25,0.2,0.75,53,18087.343358396,3831567.71346708,399
0.25,0.2,0.75,54,18254.4360902256,3339633.36713643,399
0.25,0.2,0.75,55,18396.8822055138,2813610.04890367,399
0.25,0.2,0.75,56,18528.2857142857,2391161.8327351,399
0.25,0.2,0.75,57,18637.8897243108,2054641.20891425,399
0.25,0.2,0.75,58,18718.0877192982,1754682.85912016,399
0.25,0.2,0.75,59,18817.671679198,1501737.59796476,399
0.25,0.2,0.75,60,18910.2556390977,1306133.2962935,399
0.25,0.2,0.75,61,18959,1160355.86432161,399
0.25,0.2,0.75,62,19039.2080200501,1017258.9993325,399
0.25,0.2,0.75,63,19118.8621553885,889275.571403383,399
0.25,0.2,0.75,64,19191.0877192982,768260.532486996,399
0.25,0.2,0.75,65,19246.045112782,712487.0130351,399
0.25,0.2,0.75,66,19310.1704260652,576739.006057858,399
0.25,0.2,0.75,67,19358.4411027569,494753.24715054,399
0.25,0.2,0.75,68,19423.4486215539,463765.785670206,399
0.25,0.2,0.75,69,19452.4511278195,405132.871349227,399
0.25,0.2,0.75,70,19471.4360902256,391466.522915329,399
0.25,0.2,0.75,71,19516.3483709273,325211.137126736,399
0.25,0.2,0.75,72,19577.7769423559,287420.148612738,399
0.25,0.2,0.75,73,19580.3609022556,285593.467412249,399
0.25,0.2,0.75,74,19611.7869674185,296163.730885001,399
0.25,0.2,0.75,75,19658.9273182957,265508.173096057,399
0.25,0.2,0.75,76,19695.022556391,243626.127630634,399
0.25,0.2,0.75,77,19723.2681704261,254037.633934081,399
0.25,0.2,0.75,78,19723.4887218045,248181.114822231,399
0.25,0.2,0.75,79,19737.5137844612,233914.95395524,399
0.25,0.2,0.75,80,19746.7067669173,233642.278119923,399
0.25,0.2,0.75,81,19751.8997493734,195508.462286369,399
0.25,0.2,0.75,82,19803.8521303258,208533.78963741,399
0.25,0.2,0.75,83,19824.1879699248,194268.700759436,399
0.25,0.2,0.75,84,19834.4786967419,187478.672283724,399
0.25,0.2,0.75,85,19847.0902255639,193402.439075075,399
0.25,0.2,0.75,86,19844.8721804511,184251.408244229,399
0.25,0.2,0.75,87,19855.5614035088,189855.668958829,399
0.25,0.2,0.75,88,19869.4260651629,159701.591881714,399
0.25,0.2,0.75,89,19894.2080200501,152189.406367678,399
0.25,0.2,0.75,90,19911.5839598997,155883.89180237,399
0.25,0.2,0.75,91,19898.9874686717,184009.560144079,399
0.25,0.2,0.75,92,19893.5187969925,164679.642233725,399
0.25,0.2,0.75,93,19908.7218045113,164383.035478143,399
0.25,0.2,0.75,94,19940.0776942356,164252.519074067,399
0.25,0.2,0.75,95,19940.3533834586,141362.741640533,399
0.25,0.2,0.75,96,19909.2731829574,154780.877444868,399
0.25,0.2,0.75,97,19932.7919799499,157183.632498331,399
0.25,0.2,0.75,98,19941.0200501253,153719.275978892,399
0.25,0.2,0.75,99,19952.5839598997,184588.112907898,399
0.25,0.2,0.75,100,19930.954887218,162375.415045151,399
0.25,0.2,0.964285714285714,0,20000,0,468
0.25,0.2,0.964285714285714,1,3795.95726495727,190004.94035396,468
0.25,0.2,0.964285714285714,2,1834.96367521368,118583.384116657,468
0.25,0.2,0.964285714285714,3,1119.26495726496,96001.2744010688,468
