"p0","var.z","h2","t","nbar","nvar","psrv","nn"
0.25,0.2,0.5,30,11419.9969879518,70135639.8341618,1,996
0.25,0.2,0.5,31,12294.1134538153,83882680.1991756,1,996
0.25,0.2,0.5,32,13220.5552208835,99962319.4210682,1,996
0.25,0.2,0.5,33,14294.2914572864,119889705.152392,1,995
0.25,0.2,0.5,34,15467.3269617706,143739188.570733,1,994
0.25,0.2,0.5,35,16786.1389728097,172496385.660103,1,993
0.25,0.2,0.5,36,18259.2696969697,206442630.979768,1,990
0.25,0.2,0.5,37,19812.5272727273,244548165.4851,1,990
0.25,0.2,0.5,38,21500.1324570273,290728148.410575,1,989
0.25,0.2,0.5,39,23351.9989858012,343864756.904567,1,986
0.25,0.2,0.5,40,25323.2403651116,411056477.293435,1,986
0.25,0.2,0.5,41,27523.0121703854,490838114.678024,1,986
0.25,0.2,0.5,42,29975.261928934,582684088.776852,1,985
0.25,0.2,0.5,43,32730.5757884028,698290588.688497,1,983
0.25,0.2,0.5,44,35754.2054933876,834042839.055489,1,983
0.25,0.2,0.5,45,38991.6568228106,992810130.064576,1,982
0.25,0.2,0.5,46,42583.0825688073,1189407041.54726,1,981
0.25,0.2,0.5,47,46366.4204081633,1400264123.35934,1,980
0.25,0.2,0.5,48,50508.1501532176,1656923904.05412,1,979
0.25,0.2,0.5,49,55002.5552147239,1959320439.93195,1,978
0.25,0.2,0.5,50,59871.9109518936,2312582141.59964,1,977
0.25,0.2,0.5,51,65289.1526639344,2737522979.95513,1,976
0.25,0.2,0.5,52,71152.5835897436,3240268926.33772,1,975
0.25,0.2,0.5,53,77541.0113052415,3813285582.1079,1,973
0.25,0.2,0.5,54,84360.5617283951,4472761364.94057,1,972
0.25,0.2,0.5,55,91937.5643666323,5267463076.3059,1,971
0.25,0.2,0.5,56,99978.0257731959,6150256079.44722,1,970
0.25,0.2,0.5,57,108763.463917526,7237984806.02604,1,970
0.25,0.2,0.5,58,118211.484004128,8399453981.30165,1,969
0.25,0.2,0.5,59,128445.184917355,9765580587.39183,1,968
0.25,0.2,0.5,60,139354.123966942,11321575656.3321,1,968
0.25,0.2,0.5,61,150981.644628099,13064164093.4165,1,968
0.25,0.2,0.5,62,163551.762396694,15091897259.0086,1,968
0.25,0.2,0.5,63,176947.304752066,17394140301.8832,1,968
0.25,0.2,0.5,64,191710.5336091,19992279761.2781,1,967
0.25,0.2,0.5,65,207600.795031056,22848705129.0377,1,966
0.25,0.2,0.5,66,224225.750517598,26061152044.7076,1,966
0.25,0.2,0.5,67,241853.491718426,29583676669.7175,1,966
0.25,0.2,0.5,68,260862.276683938,33411173855.1443,1,965
0.25,0.2,0.5,69,280791.512953368,37663144072.9513,1,965
0.25,0.2,0.5,70,301855.92642487,42401323738.674,1,965
0.25,0.2,0.5,71,324270.495336788,47589043889.4764,1,965
0.25,0.2,0.5,72,347644.197927461,53018723564.2129,1,965
0.25,0.2,0.5,73,372521.631742739,58753698202.3762,1,964
0.25,0.2,0.5,74,398753.978193146,65006710356.5494,1,963
0.25,0.2,0.5,75,425998.59709242,71623672309.4196,1,963
0.25,0.2,0.5,76,454400.887850467,78656768261.3242,1,963
0.25,0.2,0.5,77,484060.591900312,85982461701.6742,1,963
0.25,0.2,0.5,78,514578.42886812,93511375540.9812,1,963
0.25,0.2,0.5,79,546294.316718588,101186573664.456,1,963
0.25,0.2,0.5,80,578924.868120457,109076503134.643,1,963
0.25,0.2,0.5,81,612781.683281412,116712704286.57,1,963
0.25,0.2,0.5,82,647447.442367601,124558532516.326,1,963
0.25,0.2,0.5,83,682989.68847352,132281475788.325,1,963
0.25,0.2,0.5,84,719198.975077882,139912174827.633,1,963
0.25,0.2,0.5,85,756166.23364486,147221666311.262,1,963
0.25,0.2,0.5,86,793357.936656282,153992192082.835,1,963
0.25,0.2,0.5,87,831408.192107996,160618853113.33,1,963
0.25,0.2,0.5,88,870144.890965732,166885649319.172,1,963
0.25,0.2,0.5,89,908570.828660436,172479011456.325,1,963
0.25,0.2,0.5,90,947042.284527518,177451866651.291,1,963
0.25,0.2,0.5,91,985544.680166147,181453608447.758,1,963
0.25,0.2,0.5,92,1024553.85877466,185359733869.976,1,963
0.25,0.2,0.5,93,1063296.53582555,188289668968.027,1,963
0.25,0.2,0.5,94,1101692.58255452,190696237565.106,1,963
0.25,0.2,0.5,95,1139761.92627207,192249084420.873,1,963
0.25,0.2,0.5,96,1177391.50571132,193026549403.41,1,963
0.25,0.2,0.5,97,1214225.25129803,192891284115.86,1,963
0.25,0.2,0.5,98,1250320.74247144,192030894593.191,1,963
0.25,0.2,0.5,99,1285610.64589823,190191411014.065,1,963
0.25,0.2,0.5,100,1320355.06542056,187763277073.057,1,963
0.25,0.2,1,0,2020000,0,1,1000
0.25,0.2,1,1,381748.69,57810281.113013,1,1000
0.25,0.2,1,2,131996.799,26374320.9495485,1,1000
0.25,0.2,1,3,68055.719,16113273.3093483,1,1000
0.25,0.2,1,4,46031.76,13698200.9673674,1,1000
0.25,0.2,1,5,36845.608,13617723.7160521,1,1000
0.25,0.2,1,6,32770.561,14766008.5528318,1,1000
0.25,0.2,1,7,31164.661,18123146.4204995,1,1000
0.25,0.2,1,8,30983.669,21998662.1435826,1,1000
0.25,0.2,1,9,31715.919,26572192.1666056,1,1000
0.25,0.2,1,10,33068.915,33003459.4452202,1,1000
