"t","n","trial","p0","h2","var.z"
7,9,3000,0.25,0.25,0.1
8,2,3000,0.25,0.25,0.1
9,1,3000,0.25,0.25,0.1
0,20000,3001,0.964285714285714,0.5,0.1
1,3660,3001,0.964285714285714,0.5,0.1
2,1245,3001,0.964285714285714,0.5,0.1
3,914,3001,0.964285714285714,0.5,0.1
4,860,3001,0.964285714285714,0.5,0.1
5,902,3001,0.964285714285714,0.5,0.1
6,831,3001,0.964285714285714,0.5,0.1
7,722,3001,0.964285714285714,0.5,0.1
8,556,3001,0.964285714285714,0.5,0.1
9,690,3001,0.964285714285714,0.5,0.1
10,1045,3001,0.964285714285714,0.5,0.1
11,1821,3001,0.964285714285714,0.5,0.1
12,2197,3001,0.964285714285714,0.5,0.1
13,3256,3001,0.964285714285714,0.5,0.1
14,4860,3001,0.964285714285714,0.5,0.1
15,7724,3001,0.964285714285714,0.5,0.1
16,9657,3001,0.964285714285714,0.5,0.1
17,11730,3001,0.964285714285714,0.5,0.1
18,13220,3001,0.964285714285714,0.5,0.1
19,14504,3001,0.964285714285714,0.5,0.1
20,16427,3001,0.964285714285714,0.5,0.1
21,15565,3001,0.964285714285714,0.5,0.1
22,15984,3001,0.964285714285714,0.5,0.1
23,15076,3001,0.964285714285714,0.5,0.1
24,16211,3001,0.964285714285714,0.5,0.1
25,19495,3001,0.964285714285714,0.5,0.1
26,18585,3001,0.964285714285714,0.5,0.1
