"t","p0","var.z","h2","llbar","llvar","n","nn"
13,0.25,0.2,1,0.0735823463070875,0.00142487355778246,398.248,1000
13,0.25,0.4,0.25,-0.057927856625596,0.00177030272646489,437.48,1000
13,0.25,0.4,0.5,-0.0111338286016205,0.000787825782081863,791.996,1000
13,0.25,0.4,1,0.00964029231267067,0.000478488762190192,1367.396,1000
13,0.75,0.1,0.25,-0.680502089059521,1.25921196184199,22.3333333333333,18
13,0.75,0.1,0.5,-0.134661180325438,0.472638916006036,82.4836448598131,428
13,0.75,0.1,1,0.390750344008597,0.0136626096810569,2138.281,1000
13,0.75,0.2,0.25,-0.173572062573814,0.376593068809968,85.9133425034388,727
13,0.75,0.2,0.5,0.341452145687009,0.00429991408174891,2237.276,1000
13,0.75,0.2,1,0.070947252858197,0.000903717863930804,17131.371,1000
13,0.75,0.4,0.25,0.249218613741472,0.00364377670674357,2054.62,1000
13,0.75,0.4,0.5,0.117110283764935,0.000983057011595547,14407.719,1000
13,0.75,0.4,1,0.00711692333094541,0.000447338582063815,19709.146,1000
13,0.964285714285714,0.1,0.25,-0.47518196181405,2.03865570399258,519,52
13,0.964285714285714,0.1,0.5,0.157579827782629,0.310746036924157,2619.79620853081,422
13,0.964285714285714,0.1,1,0.163153751239305,0.0272077107194938,12136.6866597725,967
13,0.964285714285714,0.2,0.25,0.0794455617477125,0.35671975546566,2082.11992619926,542
13,0.964285714285714,0.2,0.5,0.155373752419413,0.0580408536615357,11440.8191056911,984
13,0.964285714285714,0.2,1,0.00371547818950572,0.00483500085816365,19459.017,1000
13,0.964285714285714,0.4,0.25,0.174114688737354,0.0183089107199395,9819.15430861724,998
13,0.964285714285714,0.4,0.5,0.0166298986217036,0.00487565350059373,18880.431,1000
13,0.964285714285714,0.4,1,0.00159554963787271,0.00476372568857336,19992.593,1000
14,0.25,0.1,0.25,-0.0073720928746939,0.00298912643442119,1.05454545454545,55
14,0.25,0.1,0.5,-0.12566988439998,0.0918049002770881,1.92436974789916,119
14,0.25,0.1,1,-0.0680854507645344,0.0971920669655541,12.2892459826947,809
14,0.25,0.2,0.25,-0.183580933861594,0.0663547830195585,16.826,1000
